attendance,study_hours,assignments,previous_marks,result
85,3,6,78,Pass
70,2,4,65,Pass
60,1,2,45,Fail
90,4,7,88,Pass
50,1,1,40,Fail
75,2,5,70,Pass
40,1,2,35,Fail
88,3,6,82,Pass
65,2,3,55,Fail
92,5,8,90,Pass
55,1,2,48,Fail
78,3,5,75,Pass
68,2,4,62,Pass
45,1,1,38,Fail
82,3,6,80,Pass
72,2,4,68,Pass
58,1,2,50,Fail
95,5,9,92,Pass
62,2,3,58,Fail
80,3,6,77,Pass
66,2,4,60,Pass
48,1,1,42,Fail
89,4,7,85,Pass
73,3,5,72,Pass
52,1,2,46,Fail
84,3,6,79,Pass
61,2,3,57,Fail
91,4,8,89,Pass
57,1,2,49,Fail
77,3,5,74,Pass
